Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g4493,ENSG00000123416.11,134.6,2.733,0
g35,ENSG00000171608.11,134.45,5,0
g5853,ENSG00000131165.10,134.4,17.211,0
g6513,ENSG00000167658.11,134.2,4.883,0
g2966,ENSG00000241685.4,133.9,5.025,0
g3870,ENSG00000233547.1,133.8,20.86,0
g6535,ENSG00000141968.3,133.65,6.096,0
g1405,ENSG00000144635.4,133.6,3.972,0
g2353,ENSG00000055163.14,133.5,15.741,0
g2620,ENSG00000112759.12,133.45,14.047,0
g4218,ENSG00000256007.1,133.05,6.424,0
g2068,ENSG00000173545.4,132.9,26.082,0
g4183,ENSG00000173020.6,132.85,6.768,0
g6898,ENSG00000244482.5,132.85,8.786,0
g5235,ENSG00000197249.8,132.7,1.805,0
g6507,ENSG00000104969.5,132.7,4275972151.819,0
g6554,ENSG00000268618.1,132.5,13341796893.611,0
g1508,ENSG00000239732.2,132.45,27.032,0
g1556,ENSG00000240809.1,132.45,4.539,0
g3570,ENSG00000167118.6,132.25,3.808,0
g3357,ENSG00000179950.9,132.15,14.447,0
g6724,ENSG00000124299.9,131.95,13.958,0
g6744,ENSG00000105254.7,131.95,4.729,0
g7595,ENSG00000203879.7,131.95,1038091719.544,0
g3730,ENSG00000107736.15,131.85,4.959,0
g5671,ENSG00000169217.4,131.85,25.25,0
g7160,ENSG00000142168.10,131.7,2.792,0
g6831,ENSG00000142227.6,131.35,2.402,0
g388,ENSG00000116337.11,131.15,5.642,0
g3477,ENSG00000127084.13,131.05,35.409,0
g7219,ENSG00000015475.14,131.05,3.469,0
g1269,ENSG00000115649.11,131,9.886,0
g5669,ENSG00000102879.11,131,17.606,0
g6680,ENSG00000096996.11,130.95,12.618,0
g5673,ENSG00000261346.1,130.9,65.684,0
g6651,ENSG00000196684.8,130.75,4.005,0
g980,ENSG00000135624.11,130.7,3.788,0
g6883,ENSG00000105568.13,130.7,9.7,0
g1510,ENSG00000247596.4,130.6,48.561,0
g1577,ENSG00000241280.1,130.55,3559171607.435,0
g5887,ENSG00000108405.3,130.5,14.414,0
g7305,ENSG00000100297.11,130.4,18.029,0
g7543,ENSG00000157514.12,130.35,2.772,0
g847,ENSG00000115216.9,130.25,6.495,0
g1468,ENSG00000010256.6,130.2,2.849,0
g7316,ENSG00000128340.10,130.15,2.845,0
g4196,ENSG00000006534.11,130.1,6.207,0
g5901,ENSG00000108523.11,130.1,4.514,0
g5840,ENSG00000135709.8,130,17.784,0
g4319,ENSG00000149577.11,129.9,11.087,0
g2897,ENSG00000136280.11,129.75,2089320927.137,0
g7336,ENSG00000230149.2,129.75,20.175,0
g1257,ENSG00000127837.5,129.65,51.879,0
g7079,ENSG00000062598.13,129.65,9.624,0
g6573,ENSG00000076662.5,129.6,10.726,0
g3773,ENSG00000198682.8,129.5,5.101,0
g1427,ENSG00000168329.9,129.45,12.648,0
g5658,ENSG00000197471.7,129.4,9.352,0
g140,ENSG00000158195.6,129.35,7.056,0
g4324,ENSG00000110324.5,129.35,3.125,0
g4573,ENSG00000110955.4,129.35,2.25,0
g7334,ENSG00000244491.1,129.35,7.934,0
g7123,ENSG00000130706.8,129.3,7.638,0
g3931,ENSG00000110665.7,129.15,12.982,0
g408,ENSG00000155363.14,128.95,8.145,0
g5652,ENSG00000178952.4,128.95,6.98,0
g104,ENSG00000125944.14,128.9,3.158,0
g1422,ENSG00000172936.8,128.9,3.127,0
g5670,ENSG00000261416.1,128.9,9.151,0
g4184,ENSG00000172932.10,128.75,12.378,0
g1503,ENSG00000164080.9,128.65,5.561,0
g5544,ENSG00000269881.1,128.6,2061629430.859,0
g5729,ENSG00000051108.10,128.6,2.9,0
g1384,ENSG00000131378.9,128.5,12.675,0
g3930,ENSG00000130592.9,128.45,5.974,0
g4143,ENSG00000110025.8,128.45,8.795,0
g3917,ENSG00000185201.12,128.4,1.932,0
g3455,ENSG00000165119.14,128.35,3.036,0
g4578,ENSG00000166888.6,128.2,3.32,0
g5774,ENSG00000205220.7,128.2,2.013,0
g4320,ENSG00000149591.12,128,2763295419.439,0
g7321,ENSG00000100083.14,127.95,7.55,0
g2239,ENSG00000125347.9,127.75,4.648,0
g4516,ENSG00000259884.1,127.7,4.703,0
g5653,ENSG00000264455.1,127.55,5.903,0
g6014,ENSG00000109046.10,127.55,2.233,0
