Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000143546.5,18840.6335161607,-8.08819109889922,0.383928803748278,-21.0669036027894,1.60061856256256e-98,1.53963499532893e-94
ENSG00000163221.7,1425.78559039913,-10.5343372230482,0.590937266011991,-17.8264899320707,4.40205130149659e-71,2.11716657345479e-67
ENSG00000090382.2,133517.797297696,-5.16139405163768,0.31935429922025,-16.1619682723545,9.35271512762501e-59,2.9987922270875e-55
ENSG00000137801.9,86251.6783195168,-10.2319032471485,0.643124524222641,-15.9096766827794,5.42931461266033e-57,1.30561443147949e-53
ENSG00000197632.4,7339.03060638481,-11.7474571739915,0.743456736415996,-15.8011308507646,3.05585188055087e-56,5.87884784780377e-53
ENSG00000241544.1,272.076093314761,-11.8432909704224,0.752416886985088,-15.7403311585391,8.00237862284358e-56,1.28291466621887e-52
ENSG00000257764.2,106497.065556425,-5.25611008360536,0.33709621693908,-15.5923140619381,8.21046882213384e-55,1.12823570857293e-51
ENSG00000169508.6,15868.300026762,-6.936051962441,0.445643478204019,-15.5641276080015,1.27597995294872e-54,1.53420639592672e-51
ENSG00000108691.5,2139.20880590998,-12.6692808321751,0.83725192686078,-15.1319816959725,9.96488481597073e-52,1.06502474494247e-48
ENSG00000242550.1,2836.89700993003,-10.1317579693439,0.67867233561108,-14.9287917566601,2.14110546209378e-50,2.059529343988e-47
ENSG00000132965.5,975.646848365757,-9.501607513559,0.638621222869939,-14.8783146774533,4.55837950881268e-50,3.9860956813881e-47
ENSG00000038427.11,5024.57643648608,-6.1566894197287,0.415291469364371,-14.8249840748039,1.0100386058595e-49,8.09630112480213e-47
ENSG00000124882.3,5034.72870583352,-5.4313822323911,0.384306283717446,-14.1329519253565,2.37956655375064e-45,1.76069620619442e-42
ENSG00000107738.15,7330.24203670938,4.37504619900623,0.323973718139581,13.5043244375807,1.47460181561441e-41,1.01315677602821e-38
ENSG00000166523.3,751.789088081361,-9.26052164496144,0.726438392464534,-12.7478417179246,3.20495876272591e-37,2.05523322257737e-34
ENSG00000273338.1,177.692911582655,-6.03421199753168,0.482258317342759,-12.5124062779884,6.38599628505287e-36,3.83918114162022e-33
ENSG00000175294.5,115.695908328532,-8.13267315112282,0.651520461276409,-12.482605895738,9.28957569454869e-36,5.25626050622729e-33
ENSG00000173391.4,2029.44487768392,-7.13826627757374,0.578247211932479,-12.3446618163846,5.2052500122083e-35,2.78162777041287e-32
ENSG00000117525.9,783.660529151399,-8.43574589183874,0.693948749236409,-12.1561511583111,5.32069889051068e-34,2.69367382251696e-31
ENSG00000249835.2,327.299170887142,-5.98774032525552,0.492853307894631,-12.1491328745138,5.79772325467089e-34,2.78841499933396e-31
ENSG00000110077.10,2624.13816828819,-5.54814291418597,0.460811578404628,-12.0399381747181,2.19119804543702e-33,1.00367304757422e-30
ENSG00000243629.1,283.890597950525,-9.39998314069689,0.791799134925928,-11.8716764468002,1.6610528421396e-32,7.26257604024581e-30
ENSG00000163344.5,100.778773749744,6.27529352984473,0.531600591551619,11.8045269880694,3.69865000771264e-32,1.54683975757339e-29
ENSG00000023191.12,1740.57709102729,5.01513854329201,0.440036705568953,11.3970913785649,4.32322452223801e-30,1.73271236164198e-27
ENSG00000163220.10,4956.86829673768,-4.41168696991286,0.390123675390481,-11.3084317825549,1.19200948014924e-29,4.58637567582221e-27
ENSG00000171862.5,2632.53808646108,-3.97180119233149,0.351440435718491,-11.3014917711773,1.29007676526427e-29,4.77278784810653e-27
ENSG00000139289.9,2837.40375089905,-5.48641154927235,0.487668117033631,-11.2502978104143,2.3081141628589e-29,8.22287041945916e-27
ENSG00000131042.9,337.80708199988,4.22405541900983,0.38114249620843,11.082614667822,1.52357172017675e-28,5.23401299156434e-26
ENSG00000186431.14,445.747548271549,-5.21543219424073,0.472477222303866,-11.0384838634327,2.49202479588336e-28,8.26578845227658e-26
ENSG00000259279.1,505.82921195567,-8.83184984249033,0.802544531738545,-11.0048096936851,3.6228002792324e-28,1.16159052953122e-25
ENSG00000108688.7,1248.26058855192,-11.4446872549619,1.04655800123383,-10.9355499088147,7.79320534087792e-28,2.41815619915822e-25
ENSG00000168264.6,2656.54350153056,-3.86839077590076,0.356562517995748,-10.8491234514641,2.01346964726598e-27,6.05236391782858e-25
ENSG00000175489.9,2228.34983893722,3.83550667963749,0.354188592795659,10.8289955059346,2.50892421888372e-27,7.31313395801288e-25
ENSG00000160255.12,5219.43267580843,3.52588427106323,0.326943082921321,10.7843978210474,4.07906074004391e-27,1.15401427230831e-24
ENSG00000166527.3,542.893276813113,-7.83553943264944,0.739717364186262,-10.5926125463731,3.22464199778488e-26,8.86223753619794e-24
ENSG00000121680.11,71.5278596649452,4.95885905973208,0.473057716562007,10.482566685036,1.03885389263722e-25,2.77575988702149e-23
ENSG00000172725.9,103.586896765549,6.15870293693469,0.591949871734536,10.4040953989709,2.37501052360454e-25,6.17438546663568e-23
ENSG00000142512.10,1528.10100777938,4.95300965739517,0.477541359883289,10.3718967056711,3.32851554256915e-25,8.42552394841385e-23
ENSG00000136689.14,2407.94614237089,-5.3064043229717,0.514374792474112,-10.3162215579193,5.95195407784226e-25,1.4679960583273e-22
ENSG00000260035.1,67.8780888005481,-7.52478784118441,0.735977231334096,-10.2242128163997,1.54477884226103e-24,3.71480692092722e-22
ENSG00000125538.7,20391.9021221838,-4.08411416101299,0.400118616096542,-10.2072585396216,1.83989850438034e-24,4.3165813935694e-22
ENSG00000188313.8,1830.85969690229,-3.2142583568451,0.317959563628703,-10.1090161282223,5.03877360956907e-24,1.15399912739154e-21
ENSG00000124731.8,2661.61270948479,-3.67395451187178,0.363557472810111,-10.1055673081728,5.21926087643983e-24,1.1675365202436e-21
ENSG00000169429.6,37221.2447521388,-4.32068046754329,0.429291223277761,-10.0646839098029,7.91411429855758e-24,1.73013330540512e-21
ENSG00000160883.6,1289.26781055239,5.10894941366004,0.507760583409292,10.0617290522172,8.15532611937822e-24,1.74324626538442e-21
ENSG00000076944.10,941.403123386788,3.59279094395652,0.36030423796696,9.9715478347662,2.03039601093322e-23,4.24573461503622e-21
ENSG00000169413.2,409.15366758991,-7.0120951794495,0.705290789013026,-9.94213349824422,2.72918247529436e-23,5.58553324039499e-21
ENSG00000129353.10,2120.74872526578,4.90573361564551,0.494253502164347,9.92554143605091,3.22348462908406e-23,6.4597288848249e-21
ENSG00000271810.1,914.184129171323,4.48308914230613,0.452580265065259,9.90562224727076,3.93512738154394e-23,7.72489597613697e-21
ENSG00000115008.5,302.430091257499,-7.04773796682664,0.712216220560339,-9.89550330836582,4.35414661680518e-23,8.37650726140981e-21
ENSG00000256028.2,106.489018314341,4.42191259371821,0.448461753885131,9.86017771952709,6.19396610918418e-23,1.16823058831848e-20
ENSG00000132326.7,647.478878033797,-3.27282928132286,0.333037672158637,-9.82720441237021,8.59721687799927e-23,1.59031979133606e-20
ENSG00000144597.9,3363.85172450668,-3.29010214374166,0.335936113673026,-9.79383284449133,1.19671484149876e-22,2.17192453969369e-20
ENSG00000104972.10,100.188342723893,4.36558719982724,0.44591795120067,9.79011315438759,1.24156863385424e-22,2.21160160908221e-20
ENSG00000182196.9,97.2543652321849,4.51297069093646,0.465679391148021,9.6911539929023,3.28792400596089e-22,5.75028018424324e-20
ENSG00000254760.1,99.6190928021092,5.66774073606457,0.586474562633707,9.66408621477494,4.28426160904814e-22,7.35898436025609e-20
ENSG00000204592.5,2412.76582590618,3.8119431307982,0.395874911277966,9.62916068232883,6.02193261796063e-22,1.01622754126602e-19
ENSG00000110876.8,2386.17137784561,4.77317531148404,0.496219512697395,9.61908024442162,6.64224174825107e-22,1.1015814375246e-19
ENSG00000218565.2,154.693162772305,-6.28817820846994,0.654761117649384,-9.6037746270651,7.70691550938369e-22,1.25648847940274e-19
ENSG00000160932.6,1620.55603164693,2.81929746009072,0.294000100209742,9.58944387460891,8.85610624465356e-22,1.41978143278871e-19
ENSG00000169385.2,144.969802618226,-7.32241172830659,0.764809707718562,-9.5741615913185,1.02687053444398e-21,1.61925699521584e-19
ENSG00000108639.3,1433.69630940136,4.09159976357091,0.42891501387778,9.53941837236973,1.43635605443303e-21,2.22843691735344e-19
ENSG00000255441.1,356.411298751706,5.95371334695041,0.625907253599656,9.51213348736574,1.86791624496987e-21,2.85198196196273e-19
ENSG00000272256.1,158.442733143223,3.77866730979106,0.397842522118846,9.49789703138437,2.14171639049688e-21,3.21893280627961e-19
ENSG00000100079.5,955.366154551482,-5.61074468997732,0.59373885445115,-9.44985265477341,3.39307995667478e-21,5.02123632357765e-19
ENSG00000163931.11,1095.1494649048,2.55016507654398,0.26999246823676,9.44531932019567,3.5432229991521e-21,5.08690478042449e-19
ENSG00000135709.8,298.768664673081,4.21453375540736,0.446162398109578,9.44618769592561,3.51396251578289e-21,5.08690478042449e-19
ENSG00000155366.12,2104.74227766518,4.03687893337846,0.427830921480783,9.43568762960437,3.88437974647848e-21,5.49468364432007e-19
ENSG00000112799.4,1207.48086683244,-3.42587054832479,0.363615280682751,-9.42169025980461,4.43883987806889e-21,6.18800011407893e-19
ENSG00000104969.5,121.81981385279,5.57515918303354,0.593260371064627,9.39749131233681,5.58794679998628e-21,7.67863718129543e-19
ENSG00000081041.8,637.565705063463,-5.70593596772799,0.60913655168205,-9.36725263320975,7.44450370592636e-21,1.00857297390571e-18
ENSG00000136810.8,625.566999406179,-3.41090972773888,0.365462471295802,-9.33313266241806,1.02787057871711e-20,1.37320654120554e-18
ENSG00000123146.15,2944.83857862813,3.02827409157354,0.325521086303663,9.30285077983737,1.36729528760189e-20,1.80164566732091e-18
ENSG00000130429.8,3560.05622095605,2.81649105664192,0.303971882009355,9.26563022219024,1.93928649965935e-20,2.52081038381396e-18
ENSG00000204397.3,1954.37261043315,-3.25745312710767,0.352302959735095,-9.24617019839126,2.3268051957544e-20,2.98420522372822e-18
ENSG00000110203.4,379.203227017721,-6.05910169601451,0.658304048610909,-9.20410820623062,3.44520032587372e-20,4.36044499139202e-18
ENSG00000122122.9,1103.39417430106,2.993073860581,0.327331170009305,9.14387059593473,6.02561713317992e-20,7.5273261303971e-18
ENSG00000104974.6,52.512812021073,4.69924765959525,0.514646450747186,9.13102121421935,6.78561437487235e-20,8.36805444511502e-18
ENSG00000229124.2,724.770678487186,-2.93825149919538,0.322279417703248,-9.11709323584819,7.71661946194943e-20,9.39571678537868e-18
ENSG00000129757.8,359.488273698578,4.64557777602969,0.511297815957632,9.08585491868135,1.02886883233532e-19,1.23708616227918e-17
ENSG00000073756.7,1322.47150289354,-4.76515697202588,0.525480172878777,-9.0681955627756,1.210042287503e-19,1.41943862969407e-17
ENSG00000137462.6,1691.33526744151,-2.91475174444562,0.32141175303848,-9.06859104214729,1.20565903622955e-19,1.41943862969407e-17
ENSG00000197183.8,812.177168507341,3.54037195243756,0.39078657772584,9.0596047925713,1.30924051381974e-19,1.51729933764241e-17
ENSG00000131408.9,261.246400872908,4.50318421741168,0.500330190778159,9.00042472033901,2.24846142216418e-19,2.57475600235682e-17
ENSG00000206560.6,1001.4973549279,-3.8786543559165,0.432380575384092,-8.9704639309271,2.95268121773359e-19,3.34139301569169e-17
ENSG00000182858.9,101.650246400253,6.43813448287325,0.718046218298836,8.96618395696895,3.06965101785472e-19,3.43336896985402e-17
ENSG00000172270.14,645.469579145418,3.37880425010695,0.377165068336664,8.95842307191334,3.2935463591451e-19,3.64145085386399e-17
ENSG00000160410.10,416.865184427714,3.0125032399696,0.337371085099108,8.92934626891522,4.28533566221904e-19,4.68416406078238e-17
ENSG00000182853.7,476.076058681484,5.89903799468088,0.663297886689077,8.89349734570476,5.92150775129107e-19,6.39988573704144e-17
